fold,n_heads,mlm_prob,n_layers,batch_size,hidden_size,d_ff,avg_train_loss,avg_eval_loss
4,10,0.4,1,128,510,3072,2.3313500000000005,2.3291395271525666
0,10,0.4,1,128,510,2048,2.322640909090909,2.32080746733624
1,10,0.4,1,128,510,2048,2.320277272727273,2.326083089994348
2,10,0.4,1,128,510,2048,2.332470588235294,2.3228178686565824
3,10,0.4,1,128,510,2048,2.3222045454545457,2.3246648518935493
4,10,0.4,1,128,510,2048,2.323945,2.32608851932344
0,10,0.4,1,128,510,4096,2.3192954545454545,2.318349081536998
1,10,0.4,1,128,510,4096,2.317504545454545,2.323733402335125
2,10,0.4,1,128,510,4096,2.328266666666666,2.320931033084267
3,10,0.4,1,128,510,4096,2.3198409090909093,2.3229514619578486
4,10,0.4,1,128,510,4096,2.321615,2.3250480606442405
0,10,0.6,1,128,510,2048,2.3365545454545456,2.331425511318705
1,10,0.6,1,128,510,2048,2.328162962962963,2.3345523136002675
2,10,0.6,1,128,510,2048,2.3425,2.334530002192447
3,10,0.6,1,128,510,2048,2.3347818181818187,2.335398684377256
4,10,0.6,1,128,510,2048,2.34344375,2.342785456601311
0,10,0.6,1,128,510,3072,2.336159090909092,2.332023216330487
1,10,0.6,1,128,510,3072,2.3281851851851854,2.334950251238687
2,10,0.6,1,128,510,3072,2.341466666666667,2.3337458811308207
3,10,0.6,1,128,510,3072,2.334377272727273,2.3351183144942573
4,10,0.6,1,128,510,3072,2.34336875,2.342900837168974
0,10,0.6,1,128,510,4096,2.334581818181818,2.3306871600773023
1,10,0.6,1,128,510,4096,2.327125925925926,2.333948484488896
2,10,0.6,1,128,510,4096,2.341111111111111,2.33374685990183
3,10,0.6,1,128,510,4096,2.3338272727272726,2.3349354163460108
4,10,0.6,1,128,510,4096,2.341525,2.3416507805095
0,10,0.1,2,128,510,2048,2.3318857142857143,2.316554482777913
1,10,0.1,2,128,510,2048,2.3027047619047614,2.308034810152921
2,10,0.1,2,128,510,2048,2.3423454545454545,2.3228851755460105
3,10,0.1,2,128,510,2048,2.315229411764706,2.309265004263984
4,10,0.1,2,128,510,2048,2.336333333333333,2.3240285836733303
0,10,0.1,2,128,510,3072,2.329214285714286,2.314785591761271
1,10,0.1,2,128,510,3072,2.3016047619047617,2.309799638661471
2,10,0.1,2,128,510,3072,2.3158333333333334,2.3036366512900903
3,10,0.1,2,128,510,3072,2.2941041666666666,2.302716274261474
4,10,0.1,2,128,510,3072,2.337908333333333,2.3259093578045187
0,10,0.1,2,128,510,4096,2.3323571428571426,2.3171736081441243
1,10,0.1,2,128,510,4096,2.30177619047619,2.310179764574224
2,10,0.1,2,128,510,4096,2.305504761904761,2.302299391139637
3,10,0.1,2,128,510,4096,2.316441176470588,2.311864640977648
4,10,0.1,2,128,510,4096,2.338,2.3263671764960656
0,10,0.2,2,128,510,2048,2.3196,2.313544829686483
1,10,0.2,2,128,510,2048,2.304011764705882,2.305881394280328
2,10,0.2,2,128,510,2048,2.303983333333333,2.300796571530794
3,10,0.2,2,128,510,2048,2.328218181818181,2.317372481028239
4,10,0.2,2,128,510,2048,2.2664310344827587,2.289613421758016
0,10,0.2,2,128,510,3072,2.3159142857142854,2.3101582209269207
1,10,0.2,2,128,510,3072,2.303447058823529,2.3063201904296875
2,10,0.2,2,128,510,3072,2.330854545454545,2.3156308134396872
3,10,0.2,2,128,510,3072,2.3277272727272726,2.317007561524709
4,10,0.2,2,128,510,3072,2.287118181818182,2.297801131787508
0,10,0.2,2,128,510,4096,2.3170500000000005,2.311083984375
1,10,0.2,2,128,510,4096,2.3023235294117645,2.3042332463794284
2,10,0.2,2,128,510,4096,2.264667741935484,2.283002316951752
3,10,0.2,2,128,510,4096,2.326681818181818,2.317522724469503
4,10,0.2,2,128,510,4096,2.2886727272727274,2.2996836434239927
0,10,0.4,2,128,510,2048,2.302081818181818,2.309036493301392
1,10,0.4,2,128,510,2048,2.2975636363636363,2.313518658928249
2,10,0.4,2,128,510,2048,2.313076470588235,2.3101679351594715
3,10,0.4,2,128,510,2048,2.3115647058823527,2.316899511549208
4,10,0.4,2,128,510,2048,2.3138625,2.3184654432184555
0,10,0.4,2,128,510,3072,2.2978500000000004,2.307187609050585
1,10,0.4,2,128,510,3072,2.2970045454545454,2.313043594360352
2,10,0.4,2,128,510,3072,2.312876470588235,2.3102626270718045
3,10,0.4,2,128,510,3072,2.3109058823529414,2.3162799146440296
4,10,0.4,2,128,510,3072,2.30228,2.313559032621838
0,10,0.4,2,128,510,4096,2.2979954545454544,2.307279472765716
1,10,0.4,2,128,510,4096,2.2967,2.312753687734189
2,10,0.4,2,128,510,4096,2.311276470588236,2.309515370262994
3,10,0.4,2,128,510,4096,2.309958823529412,2.315933015611437
4,10,0.4,2,128,510,4096,2.30138,2.3133961813790456
0,10,0.6,2,128,510,2048,2.322204545454545,2.3233097014219863
1,10,0.6,2,128,510,2048,2.3103962962962963,2.3255261863980974
2,10,0.6,2,128,510,2048,2.3129444444444447,2.3157745599746704
3,10,0.6,2,128,510,2048,2.31442,2.3258624260242167
4,10,0.6,2,128,510,2048,2.33044375,2.3342112513149487
0,10,0.6,2,128,510,3072,2.3192909090909093,2.3224093395730723
1,10,0.6,2,128,510,3072,2.309514814814815,2.326046790395464
2,10,0.6,2,128,510,3072,2.327816666666666,2.3248965991170785
3,10,0.6,2,128,510,3072,2.3142240000000003,2.3268795288526096
4,10,0.6,2,128,510,3072,2.3294625,2.3334406824672924
0,10,0.6,2,128,510,4096,2.31985,2.323005769563758
1,10,0.6,2,128,510,4096,2.3093000000000004,2.324755472796304
2,10,0.6,2,128,510,4096,2.3263,2.3231437833685624
3,10,0.6,2,128,510,4096,2.3175227272727272,2.3275733927021856
4,10,0.6,2,128,510,4096,2.32881875,2.332876570084516
0,12,0.1,1,128,768,3072,2.3302857142857145,2.3170541604359944
1,12,0.1,1,128,768,3072,2.3313615384615387,2.3229297740118846
2,12,0.1,1,128,768,3072,2.3415181818181816,2.324090480804444
3,12,0.1,1,128,768,3072,2.335025,2.3186708963834324
4,12,0.1,1,128,768,3072,2.336958333333333,2.326424635373629
0,12,0.1,1,128,768,2048,2.329792857142857,2.315190585454305
1,12,0.1,1,128,768,2048,2.3082047619047623,2.316642262718894
2,12,0.1,1,128,768,2048,2.3464545454545456,2.3305760820706687
3,12,0.1,1,128,768,2048,2.2979375,2.305299911499024
4,12,0.1,1,128,768,2048,2.3376083333333333,2.3272568812737098
0,12,0.1,1,128,768,4096,2.3325928571428567,2.3179384390513103
1,12,0.1,1,128,768,4096,2.316317647058824,2.3180106745825872
2,12,0.1,1,128,768,4096,2.3395636363636365,2.324366410573324
3,12,0.1,1,128,768,4096,2.335058333333333,2.317939960039579
4,12,0.1,1,128,768,4096,2.33625,2.325864810210008
0,12,0.2,1,128,768,2048,2.3169,2.3115145365397134
1,12,0.2,1,128,768,2048,2.307176470588235,2.310577498541938
2,12,0.2,1,128,768,2048,2.330172727272727,2.315643529097239
3,12,0.2,1,128,768,2048,2.328309090909092,2.31891405582428
4,12,0.2,1,128,768,2048,2.2936363636363635,2.305876441623853
0,12,0.2,1,128,768,3072,2.3175071428571425,2.3140567938486734
1,12,0.2,1,128,768,3072,2.303529411764706,2.3094098038143582
2,12,0.2,1,128,768,3072,2.304133333333333,2.3017317119397616
3,12,0.2,1,128,768,3072,2.327527272727273,2.317410429318746
4,12,0.2,1,128,768,3072,2.290136363636364,2.3025920598403267
0,12,0.2,1,128,768,4096,2.3175714285714286,2.312893342971802
1,12,0.2,1,128,768,4096,2.3024117647058824,2.306524144278632
2,12,0.2,1,128,768,4096,2.304138888888889,2.3035995081851355
3,12,0.2,1,128,768,4096,2.326936363636364,2.3173282941182456
4,12,0.2,1,128,768,4096,2.2918380952380955,2.3050760355862705
0,12,0.4,1,128,768,2048,2.301268181818182,2.3115763664245605
1,12,0.4,1,128,768,2048,2.3005363636363634,2.3183156303737475
2,12,0.4,1,128,768,2048,2.315158823529412,2.314662549230788
3,12,0.4,1,128,768,2048,2.313264705882353,2.318318353758918
4,12,0.4,1,128,768,2048,2.3151875000000004,2.3203944318434773
0,12,0.4,1,128,768,3072,2.3010772727272726,2.3131157211635425
1,12,0.4,1,128,768,3072,2.29835,2.3170586772586987
2,12,0.4,1,128,768,3072,2.313211764705882,2.3123663796318903
3,12,0.4,1,128,768,3072,2.311935294117647,2.3184902667999268
4,12,0.4,1,128,768,3072,2.303735,2.318379765465146
0,12,0.4,1,128,768,4096,2.3001,2.3115800670955493
1,12,0.4,1,128,768,4096,2.299545454545455,2.317618515180505
2,12,0.4,1,128,768,4096,2.3134058823529413,2.312332683139377
3,12,0.4,1,128,768,4096,2.310576470588236,2.317174487643772
4,12,0.4,1,128,768,4096,2.301315,2.315740074430193
0,12,0.6,1,128,768,2048,2.321827272727273,2.3253875089728315
1,12,0.6,1,128,768,2048,2.3130888888888888,2.329269622053419
2,12,0.6,1,128,768,2048,2.3297666666666665,2.327978560799046
3,12,0.6,1,128,768,2048,2.3220318181818183,2.3303938948589824
4,12,0.6,1,128,768,2048,2.33105,2.3368874437668743
0,12,0.6,1,128,768,3072,2.3213636363636363,2.326138071391893
1,12,0.6,1,128,768,3072,2.3122962962962963,2.3299275296075
2,12,0.6,1,128,768,3072,2.328088888888889,2.3255100375727604
3,12,0.6,1,128,768,3072,2.3206181818181824,2.3299037269924
4,12,0.6,1,128,768,3072,2.32985625,2.3356925459469067
0,12,0.6,1,128,768,4096,2.321177272727273,2.325884777566661
1,12,0.6,1,128,768,4096,2.311711111111112,2.3297043783324107
2,12,0.6,1,128,768,4096,2.328016666666666,2.3261615351626745
3,12,0.6,1,128,768,4096,2.328005882352941,2.331758485900031
4,12,0.6,1,128,768,4096,2.32883125,2.335470199584961
0,12,0.1,2,128,768,2048,2.3081428571428573,2.302446460723877
1,12,0.1,2,128,768,2048,2.272876190476191,2.2982387759468774
2,12,0.1,2,128,768,2048,2.325309090909091,2.313633660475413
3,12,0.1,2,128,768,2048,2.3157666666666668,2.3077291525327244
4,12,0.1,2,128,768,2048,2.3169000000000004,2.311581721672645
