fold,n_heads,mlm_prob,n_layers,batch_size,hidden_size,d_ff,avg_train_loss,avg_eval_loss
4,16,0.23,1,128,768,4096,2.30314375,2.3090183173908905
0,16,0.25,1,128,768,3072,2.272996153846154,2.296354567563092
1,16,0.25,1,128,768,3072,2.3018588235294115,2.3108280499776206
2,16,0.25,1,128,768,3072,2.299305555555556,2.302344773945056
3,16,0.25,1,128,768,3072,2.323272727272727,2.3183024326960244
4,16,0.25,1,128,768,3072,2.2843318181818177,2.3025397321452266
0,16,0.15,2,128,768,2048,2.2928357142857143,2.2969298362731934
1,16,0.15,2,128,768,2048,2.2744588235294114,2.2935036023457847
2,16,0.15,2,128,768,2048,2.310709090909091,2.2987478772799173
3,16,0.15,2,128,768,2048,2.3079363636363635,2.3045549392700195
4,16,0.15,2,128,768,2048,2.30235,2.3037314965174747
0,16,0.25,1,128,768,4096,2.285304545454545,2.29874617120494
1,16,0.25,1,128,768,4096,2.300964705882353,2.309407631556193
2,16,0.25,1,128,768,4096,2.2976666666666667,2.300945181595652
3,16,0.25,1,128,768,4096,2.323436363636364,2.318316698074341
4,16,0.25,1,128,768,4096,2.286371428571429,2.3032240759242666
0,16,0.15,2,128,768,3072,2.294778571428572,2.299155680338542
1,16,0.15,2,128,768,3072,2.273247058823529,2.292733814981249
2,16,0.15,2,128,768,3072,2.3111727272727274,2.300172766049703
3,16,0.15,2,128,768,3072,2.3084,2.3055620193481445
4,16,0.15,2,128,768,3072,2.30285,2.3052956874553976
0,16,0.18,2,128,768,2048,2.289992857142857,2.2962496121724447
1,16,0.18,2,128,768,2048,2.271388235294117,2.2952506939570108
2,16,0.18,2,128,768,2048,2.308218181818182,2.2996464172999063
3,16,0.18,2,128,768,2048,2.304818181818181,2.30489174524943
4,16,0.18,2,128,768,2048,2.2998333333333334,2.303186600024884
0,16,0.15,2,128,768,4096,2.2306769230769232,2.278183327780829
1,16,0.15,2,128,768,4096,2.276182352941176,2.296690066655477
2,16,0.15,2,128,768,4096,2.3110818181818185,2.300035079320272
3,16,0.15,2,128,768,4096,2.309863636363636,2.3074820240338645
4,16,0.15,2,128,768,4096,2.303825,2.304993886214036
0,16,0.18,2,128,768,3072,2.2919285714285715,2.298732725779216
1,16,0.18,2,128,768,3072,2.269382352941176,2.2943559090296426
2,16,0.18,2,128,768,3072,2.3075545454545456,2.3007495403289795
3,16,0.18,2,128,768,3072,2.305454545454545,2.3057522972424827
4,16,0.18,2,128,768,3072,2.2893214285714287,2.3016095956166587
0,16,0.2,2,128,768,2048,2.288792857142857,2.298115619023641
1,16,0.2,2,128,768,2048,2.2695705882352937,2.2938312424553766
2,16,0.2,2,128,768,2048,2.2672222222222222,2.2853764609286658
3,16,0.2,2,128,768,2048,2.303972727272728,2.305925985177358
4,16,0.2,2,128,768,2048,2.208968965517241,2.281676046053569
0,16,0.18,2,128,768,4096,2.291728571428572,2.2980546156565347
1,16,0.18,2,128,768,4096,2.2700411764705883,2.2949164311091104
2,16,0.18,2,128,768,4096,2.192990322580645,2.2709318101406097
3,16,0.18,2,128,768,4096,2.303618181818182,2.30435448884964
4,16,0.18,2,128,768,4096,2.25777,2.2917682102748325
0,16,0.2,2,128,768,3072,2.290692857142857,2.300384759902954
1,16,0.2,2,128,768,3072,2.302672727272728,2.306807498137156
2,16,0.2,2,128,768,3072,2.306390909090909,2.3016189336776733
3,16,0.2,2,128,768,3072,2.3040454545454545,2.3062637050946555
4,16,0.2,2,128,768,3072,2.287128571428572,2.3004231611887613
0,16,0.2,2,128,768,4096,2.289935714285714,2.300331846872965
1,16,0.2,2,128,768,4096,2.2687882352941173,2.294546206792196
2,16,0.2,2,128,768,4096,2.2661666666666664,2.2850582223189506
3,16,0.2,2,128,768,4096,2.302536363636364,2.304937422275543
4,16,0.2,2,128,768,4096,2.244422727272728,2.2886332636294155
0,16,0.23,2,128,768,2048,2.231376,2.283250634486859
1,16,0.23,2,128,768,2048,2.272817647058824,2.298240489429898
2,16,0.23,2,128,768,2048,2.2671,2.2864590444062887
3,16,0.23,2,128,768,2048,2.3024636363636364,2.306839605172476
4,16,0.23,2,128,768,2048,2.2086655172413794,2.282628560066223
0,16,0.23,2,128,768,3072,2.230364,2.284346470466027
1,16,0.23,2,128,768,3072,2.268647058823529,2.2966959476470947
2,16,0.23,2,128,768,3072,2.266961111111111,2.2871044434999166
3,16,0.23,2,128,768,3072,2.3017636363636367,2.307305991649628
4,16,0.23,2,128,768,3072,2.203644827586207,2.2852739572525023
0,16,0.23,2,128,768,4096,2.2718470588235293,2.2934117449654474
1,16,0.23,2,128,768,4096,2.2665117647058826,2.295388552877638
2,16,0.23,2,128,768,4096,2.2639166666666664,2.286692895387348
3,16,0.23,2,128,768,4096,2.301263636363636,2.3070009549458823
4,16,0.23,2,128,768,4096,2.27625,2.2966217433705047
0,16,0.25,2,128,768,2048,2.28795,2.299403603871663
1,16,0.25,2,128,768,2048,2.2696058823529413,2.2968405750062733
2,16,0.25,2,128,768,2048,2.267233333333333,2.286469258760151
3,16,0.25,2,128,768,2048,2.3024727272727272,2.307666619618734
4,16,0.25,2,128,768,2048,2.250738095238095,2.289824507453225
0,16,0.25,2,128,768,3072,2.2468181818181816,2.2876687568166982
1,16,0.25,2,128,768,3072,2.26854705882353,2.2954783837000527
2,16,0.25,2,128,768,3072,2.2672944444444445,2.286505121933786
3,16,0.25,2,128,768,3072,2.3013909090909093,2.3074431816736856
4,16,0.25,2,128,768,3072,2.242222727272728,2.2896667770717456
0,16,0.25,2,128,768,4096,2.271935294117647,2.294599692026774
1,16,0.25,2,128,768,4096,2.2666235294117647,2.295084410243564
2,16,0.25,2,128,768,4096,2.263533333333333,2.286740340684589
3,16,0.25,2,128,768,4096,2.301318181818182,2.307652831077576
4,16,0.25,2,128,768,4096,2.248919047619048,2.290892254222523
0,16,0.15,3,128,768,2048,2.280785714285714,2.295327536265056
1,16,0.15,3,128,768,2048,2.2580117647058824,2.2898604340023465
2,16,0.15,3,128,768,2048,2.191782142857143,2.267718479551118
3,16,0.15,3,128,768,2048,2.2974,2.300656775633494
4,16,0.15,3,128,768,2048,2.2914416666666666,2.298532430942242
0,16,0.15,3,128,768,3072,2.2809714285714286,2.294363037745158
1,16,0.15,3,128,768,3072,2.2581,2.2895407014422946
2,16,0.15,3,128,768,3072,2.300972727272727,2.294215818246206
3,16,0.15,3,128,768,3072,2.297690909090909,2.3004030585289
4,16,0.15,3,128,768,3072,2.291183333333333,2.2999849869654727
0,16,0.15,3,128,768,4096,2.282585714285714,2.29342098236084
1,16,0.15,3,128,768,4096,2.2603117647058824,2.2898610300487943
2,16,0.15,3,128,768,4096,2.301518181818182,2.292515138785044
3,16,0.15,3,128,768,4096,2.298390909090909,2.3017494877179465
4,16,0.15,3,128,768,4096,2.2926166666666665,2.2999936800736647
0,16,0.18,3,128,768,2048,2.276707142857143,2.2943220297495523
1,16,0.18,3,128,768,2048,2.252252941176471,2.289084474245707
2,16,0.18,3,128,768,2048,2.164958064516129,2.2692002579569817
3,16,0.18,3,128,768,2048,2.293863636363636,2.3008203506469727
4,16,0.18,3,128,768,2048,2.226833333333333,2.2851044698195024
0,16,0.18,3,128,768,3072,2.276578571428572,2.2919680436452228
1,16,0.18,3,128,768,3072,2.252423529411765,2.290277428097195
2,16,0.18,3,128,768,3072,2.187192592592593,2.267252675124577
3,16,0.18,3,128,768,3072,2.293709090909091,2.3023231824239097
4,16,0.18,3,128,768,3072,2.274342857142857,2.295115184783936
0,16,0.18,3,128,768,4096,2.277428571428571,2.2931273301442463
1,16,0.18,3,128,768,4096,2.2540352941176467,2.2898425261179605
2,16,0.18,3,128,768,4096,2.1768964285714287,2.267618853470375
3,16,0.18,3,128,768,4096,2.295118181818182,2.301447073618571
4,16,0.18,3,128,768,4096,2.235015,2.284168833778018
0,16,0.2,3,128,768,2048,2.275571428571429,2.2951781431833904
1,16,0.2,3,128,768,2048,2.25054705882353,2.289087586932712
2,16,0.2,3,128,768,2048,2.296472727272727,2.296196122964224
3,16,0.2,3,128,768,2048,2.292836363636364,2.301049093405405
4,16,0.2,3,128,768,2048,2.2311300000000003,2.285183940614973
0,16,0.2,3,128,768,3072,2.274742857142857,2.294382810592652
1,16,0.2,3,128,768,3072,2.250235294117647,2.2886829773585
2,16,0.2,3,128,768,3072,2.1627066666666663,2.2683879098584576
3,16,0.2,3,128,768,3072,2.292354545454546,2.3022658228874207
4,16,0.2,3,128,768,3072,2.23101,2.2845005762009394
0,16,0.2,3,128,768,4096,2.2751357142857143,2.294774564107259
1,16,0.2,3,128,768,4096,2.2520823529411764,2.288924800025092
2,16,0.2,3,128,768,4096,2.295781818181818,2.294831971327464
3,16,0.2,3,128,768,4096,2.2920818181818183,2.300903578599294
4,16,0.2,3,128,768,4096,2.231845,2.2848589420318604
0,16,0.23,3,128,768,2048,2.2543470588235297,2.291119045681424
1,16,0.23,3,128,768,2048,2.2506882352941173,2.2925683789783053
2,16,0.23,3,128,768,2048,2.248672222222222,2.281530656312641
3,16,0.23,3,128,768,2048,2.290881818181818,2.3030906518300376
4,16,0.23,3,128,768,2048,2.229165,2.285637935002645
0,16,0.23,3,128,768,3072,2.196248,2.2803642658086924
1,16,0.23,3,128,768,3072,2.249858823529412,2.291716549131605
2,16,0.23,3,128,768,3072,2.246288888888889,2.2801981348740425
3,16,0.23,3,128,768,3072,2.291490909090909,2.304225663344065
4,16,0.23,3,128,768,3072,2.165379310344828,2.283016053835551
0,16,0.23,3,128,768,4096,2.2733714285714286,2.2947555065155028
1,16,0.23,3,128,768,4096,2.2500117647058824,2.292324980099996
2,16,0.23,3,128,768,4096,2.2454222222222224,2.280134339081614
3,16,0.23,3,128,768,4096,2.291427272727273,2.3038940032323203
4,16,0.23,3,128,768,4096,2.22983,2.2864811647505987
0,16,0.25,3,128,768,2048,2.194892307692308,2.281819979349772
1,16,0.25,3,128,768,2048,2.249811764705882,2.290837036238776
2,16,0.25,3,128,768,2048,2.2482444444444445,2.28270801744963
3,16,0.25,3,128,768,2048,2.290518181818182,2.30347071091334
4,16,0.25,3,128,768,2048,2.229689999999999,2.2869820367722284
0,16,0.25,3,128,768,3072,2.189888461538462,2.28215667936537
1,16,0.25,3,128,768,3072,2.2501058823529414,2.2918615341186523
2,16,0.25,3,128,768,3072,2.2464166666666667,2.2814552532999137
3,16,0.25,3,128,768,3072,2.2910181818181816,2.304121275742849
4,16,0.25,3,128,768,3072,2.2228857142857144,2.287626266479492
0,16,0.25,3,128,768,4096,2.189196153846154,2.2817522596429893
1,16,0.25,3,128,768,4096,2.252547058823529,2.2924221886528864
2,16,0.25,3,128,768,4096,2.245394444444445,2.281715719323409
3,16,0.25,3,128,768,4096,2.2906272727272725,2.304753561814626
4,16,0.25,3,128,768,4096,2.2233380952380952,2.2871217402544888
0,16,0.1,1,128,768,3072,2.327892857142857,2.315739997227986
1,16,0.1,1,128,768,3072,2.2996428571428567,2.31127620827068
2,16,0.1,1,128,768,3072,2.338363636363636,2.321744660536448
3,16,0.1,1,128,768,3072,2.3094944444444443,2.308026765522204
4,16,0.1,1,128,768,3072,2.333925,2.3257037676297703
0,16,0.1,1,128,768,4096,2.328721428571428,2.315666500727336
1,16,0.1,1,128,768,4096,2.312194117647058,2.313964353667365
2,16,0.1,1,128,768,4096,2.311705555555556,2.305506894462987
3,16,0.1,1,128,768,4096,2.332958333333333,2.3179705142974854
4,16,0.1,1,128,768,4096,2.334825,2.3236677646636963
0,16,0.1,1,128,768,2048,2.3291642857142856,2.314737669626872
1,16,0.1,1,128,768,2048,2.3000857142857143,2.31126251003959
2,16,0.1,1,128,768,2048,2.342263636363636,2.325854698816935
3,16,0.1,1,128,768,2048,2.314911764705882,2.310721900728014
4,16,0.1,1,128,768,2048,2.3344416666666667,2.3248176758105936
0,16,0.2,1,128,768,3072,2.313828571428572,2.3119954744974773
1,16,0.2,1,128,768,3072,2.2996823529411765,2.3071100579367743
2,16,0.2,1,128,768,3072,2.3263181818181824,2.3149274984995523
3,16,0.2,1,128,768,3072,2.3235272727272727,2.3155163725217185
4,16,0.2,1,128,768,3072,2.283940909090909,2.301290512084961
0,16,0.2,1,128,768,2048,2.315185714285714,2.3109409332275392
1,16,0.2,1,128,768,2048,2.301041176470588,2.3068500227398343
2,16,0.2,1,128,768,2048,2.327972727272727,2.3151649832725525
3,16,0.2,1,128,768,2048,2.325290909090909,2.317409793535868
4,16,0.2,1,128,768,2048,2.266779310344828,2.296620003382365
0,16,0.2,1,128,768,4096,2.3135285714285714,2.310479688644409
1,16,0.2,1,128,768,4096,2.299111764705882,2.305382145775689
2,16,0.2,1,128,768,4096,2.255454838709677,2.285645298659801
3,16,0.2,1,128,768,4096,2.3222909090909094,2.315351029237112
4,16,0.2,1,128,768,4096,2.2832954545454545,2.2990958379662554
0,16,0.4,1,128,768,2048,2.297731818181818,2.3097156234409497
1,16,0.4,1,128,768,2048,2.295259090909091,2.314687905104264
2,16,0.4,1,128,768,2048,2.311717647058824,2.312333252694872
3,16,0.4,1,128,768,2048,2.3087941176470586,2.317053861088223
4,16,0.4,1,128,768,2048,2.3119875,2.319464501212625
0,16,0.4,1,128,768,3072,2.295990909090909,2.31065789512966
1,16,0.4,1,128,768,3072,2.2950045454545456,2.3155537480893345
2,16,0.4,1,128,768,3072,2.310894117647059,2.312004142337375
3,16,0.4,1,128,768,3072,2.3081529411764703,2.3171258899900646
4,16,0.4,1,128,768,3072,2.3110500000000003,2.318770590950461
0,16,0.4,1,128,768,4096,2.294845454545454,2.309468072393666
