Precision,Recall,Threshold
0.5,1.0,-101.47415375709534
0.5001177301624676,1.0,-93.56801056861877
0.5002355157795573,1.0,-88.17697763442993
0.5003533568904593,1.0,-81.86210709810257
0.5004712535344015,1.0,-76.94368720054626
0.5005892057506481,1.0,-75.09815764427185
0.5007072135785007,1.0,-74.83734571933746
0.5008252770572978,1.0,-73.65947389602661
0.5009433962264151,1.0,-73.33235943317413
0.5010615711252654,1.0,-72.00125825405121
0.5011798017932987,1.0,-71.77384066581726
0.5012980882700023,1.0,-71.68098711967468
0.5014164305949008,1.0,-69.26826703548431
0.5015348288075561,1.0,-68.52184915542603
0.5016532829475673,1.0,-65.97111928462982
0.5017717930545712,1.0,-65.65925061702728
0.501890359168242,1.0,-65.61869192123413
0.5017726305837863,0.9995291902071564,-65.43698215484619
0.5018912529550827,0.9995291902071564,-64.2071635723114
0.502009931425869,0.9995291902071564,-64.10491013526917
0.5021286660359509,0.9995291902071564,-64.09275376796722
0.5022474568251715,0.9995291902071564,-63.90202069282532
0.5023663038334122,0.9995291902071564,-63.68317902088165
0.5022485207100592,0.9990583804143126,-63.412015438079834
0.5023674242424242,0.9990583804143126,-63.393325328826904
0.5024863840871419,0.9990583804143126,-63.132022857666016
0.5026054002842255,0.9990583804143126,-63.03892993927002
0.5027244728737266,0.9990583804143126,-62.65309190750122
0.5029627873903769,0.9990583804143126,-62.15377473831177
0.5030820293978189,0.9990583804143126,-61.947139263153076
0.5029641925539483,0.998587570621469,-61.93767261505127
0.5028462998102466,0.9981167608286252,-61.85430204868317
0.5029655990510083,0.9981167608286252,-61.5333069562912
0.5030849549121974,0.9981167608286252,-61.43116521835327
0.5032043674341324,0.9981167608286252,-61.210829734802246
0.50332383665717,0.9981167608286252,-61.13407373428345
0.5034433626217051,0.9981167608286252,-61.1003839969635
0.503562945368171,0.9981167608286252,-61.004809856414795
0.5036825849370397,0.9981167608286252,-60.51905930042267
0.5038022813688213,0.9981167608286252,-60.45830464363098
0.5039220347040646,0.9981167608286252,-59.98451781272888
0.5040418449833571,0.9981167608286252,-59.67504644393921
0.5041617122473246,0.9981167608286252,-59.478464126586914
0.5042816365366318,0.9981167608286252,-59.29635834693909
0.5044016178919819,0.9981167608286252,-59.06737518310547
0.504521656354117,0.9981167608286252,-58.81482237577438
0.5044037134015711,0.9976459510357816,-58.716352701187134
0.5045238095238095,0.9976459510357816,-58.398033022880554
0.5046439628482973,0.9976459510357816,-58.02730071544647
0.5047641734159123,0.9976459510357816,-57.99146318435669
0.504884441267572,0.9976459510357816,-57.898064613342285
0.5050047664442326,0.9976459510357816,-57.8533581495285
0.5048867699642432,0.9971751412429378,-57.79874897003174
0.5047687172150691,0.9967043314500942,-57.56572186946869
0.5046506081564512,0.9962335216572504,-57.4577214717865
0.5047709923664122,0.9962335216572504,-57.389540910720825
0.5048914340252922,0.9962335216572504,-57.28940033912659
0.5050119331742243,0.9962335216572504,-57.06096863746643
0.5051324898543805,0.9962335216572504,-57.00624191761017
0.5052531041069723,0.9962335216572504,-56.97291111946106
0.5053737759732505,0.9962335216572504,-56.805436849594116
0.5054945054945055,0.9962335216572504,-56.62045007944107
0.505615292712067,0.9962335216572504,-56.59764647483826
0.505736137667304,0.9962335216572504,-56.53212761878967
0.5056179775280899,0.9957627118644068,-56.47532916069031
0.505738880918221,0.9957627118644068,-56.46765351295471
0.505859842143028,0.9957627118644068,-56.368056893348694
0.5057416267942584,0.995291902071563,-56.16861295700073
0.5058626465661642,0.995291902071563,-56.07724714279175
0.5059837242699856,0.995291902071563,-55.97604513168335
0.5061048599473306,0.995291902071563,-55.972859144210815
0.5062260536398467,0.995291902071563,-55.62130135297775
0.5061077844311377,0.9948210922787194,-55.5948748588562
0.5062290368950647,0.9948210922787194,-55.42610168457031
0.5063503474718428,0.9948210922787194,-55.357152342796326
0.5064717162032598,0.9948210922787194,-55.308984875679016
0.5065931431311436,0.9948210922787194,-55.156134843826294
0.5067146282973621,0.9948210922787194,-55.07821214199066
0.5068361717438234,0.9948210922787194,-54.9444100856781
0.5069577735124761,0.9948210922787194,-54.93998682498932
0.5068394528437725,0.9943502824858758,-54.84249258041382
0.5067210753720596,0.993879472693032,-54.79609751701355
0.5066026410564226,0.9934086629001884,-54.778937339782715
0.5067243035542748,0.9934086629001884,-54.71370887756348
0.5068460245015614,0.9934086629001884,-54.71222710609436
0.5069678039404133,0.9934086629001884,-54.61874294281006
0.5070896419130017,0.9934086629001884,-54.44084191322327
0.5072115384615384,0.9934086629001884,-54.400832414627075
0.5073334936282761,0.9934086629001884,-54.30498254299164
0.5074555074555075,0.9934086629001884,-54.29833209514618
0.5075775799855665,0.9934086629001884,-54.283658027648926
0.5076997112608277,0.9934086629001884,-54.137815117836
0.5078219013237064,0.9934086629001884,-54.08404779434204
0.5079441502166586,0.9934086629001884,-54.070908308029175
0.5080664579821815,0.9934086629001884,-54.000192046165466
0.5081888246628131,0.9934086629001884,-53.99680161476135
0.5083112503011322,0.9934086629001884,-53.950480222702026
0.5084337349397591,0.9934086629001884,-53.84120774269104
0.5085562786213546,0.9934086629001884,-53.72827219963074
0.508678881388621,0.9934086629001884,-53.719574332237244
0.5088015432843019,0.9934086629001884,-53.62442588806152
0.5089242643511819,0.9934086629001884,-53.549760818481445
0.5088057901085645,0.9929378531073446,-53.529648303985596
0.5089285714285714,0.9929378531073446,-53.52072215080261
0.5090514120202752,0.9929378531073446,-53.42418599128723
0.5092972711905337,0.9929378531073446,-53.4224693775177
0.5094202898550725,0.9929378531073446,-53.377312660217285
